Index,passenger_name,Born,Died,Age,age_at_death,gender,marital_status,category,ticket_class,job_group,ticket,cabin,embarked,disembarked
723,Barringer Arthur William,1878,1912,34,34,Male,Married,Crew,Victualling,,,,Belfast,
724,Barrow Charles Henry John,1876,1912,35,35,Male,Married,Crew,Victualling,,,,Southampton,
725,Barrows Edward William Peter,1879,1912,32,32,Male,Single,Crew,Victualling,,,,Southampton,
726,Barry James,1881,,31,,Male,,Crew,Engine,,,,Belfast,Southampton
727,Barry Julia,1881,1912,30,30,Female,Single,Passenger,3rd Class,,330844,,Queenstown,
728,Bartley Robert,1880,,32,,Male,,Crew,Engine,,,,Belfast,Southampton
729,Bartley Thomas,1876,1957,35,81,Male,Married,Crew,Victualling,,,,Belfast,Southampton
730,Barton David John,1890,1912,22,22,Male,Single,Passenger,3rd Class,,324669,,Southampton,
731,Barton Sidney John,1886,1912,26,26,Male,Single,Crew,Victualling,,,,Southampton,
732,Basilico Giovanni,1885,1912,27,27,Male,Single,Crew,A la Carte,,,,Southampton,
733,Bateman Robert James,1859,1912,52,52,Male,Married,Passenger,2nd Class,,1166,,Southampton,
734,Batoshev Hristo Lalev,1889,1912,23,23,Male,,Passenger,3rd Class,,349217,,Southampton,
735,Baumann John David,1864,1912,48,48,Male,Single,Passenger,1st Class,,17318,,Cherbourg,
736,Baxter Harry Ross,1858,1912,53,53,Male,Widowed,Crew,Victualling,,,,Southampton,
737,Baxter HÈlËne,1862,1923,50,61,Female,Widowed,Passenger,1st Class,,17558,B58/60,Cherbourg,New York City
738,Baxter Quigg Edmond,1887,1912,24,24,Male,Single,Passenger,1st Class,,17558,B58/60,Cherbourg,
739,Baxter Thomas Ferguson,1856,1912,55,55,Male,Married,Crew,Victualling,,,,Southampton,
740,Bazzi Narciso,1878,1912,33,33,Male,Single,Crew,A la Carte,,,,Southampton,
741,Bazz? Rash?d Al-H?j 'Adb al-Husayn,1882,1912,30,30,Male,Married,Passenger,3rd Class,,2629,,Cherbourg,
742,Beane Edward,1879,1948,32,68,Male,Married,Passenger,2nd Class,,2908,,Southampton,New York City
743,Beane Ethel Louisa,1889,1983,22,93,Female,Married,Passenger,2nd Class,,2908,,Southampton,New York City
744,Beattie Francis,1873,1943,39,69,Male,Married,Crew,Engine,,,,Belfast,Southampton
745,Beattie Joseph John,1871,1912,40,40,Male,Married,Crew,Engine,,,,Belfast,
746,Beattie Thomson,1875,1912,36,36,Male,Single,Passenger,1st Class,,13050,,Southampton,
747,Beauchamp George William,1888,1965,24,77,Male,Single,Crew,Engine,,,,Southampton,New York City
748,Beauchamp Henry James,1868,1912,43,43,Male,Married,Passenger,2nd Class,,244358,,Southampton,
749,Beavan William Thomas,1892,1912,20,20,Male,Single,Passenger,3rd Class,,323951,,Southampton,
750,Becker Marion Louise,1907,1944,4,36,Female,,Passenger,2nd Class,,230136,F8,Southampton,New York City
751,Becker Nellie E.,1876,1961,35,84,Female,Widowed,Passenger,2nd Class,,230136,F8,Southampton,New York City
752,Becker Richard F.,1910,1975,1,65,Male,,Passenger,2nd Class,,230136,F8,Southampton,New York City
753,Becker Ruth Elizabeth,1899,1990,12,90,Female,,Passenger,2nd Class,,230136,F8,Southampton,New York City
754,Beckwith Richard Leonard,1874,1933,37,58,Male,Married,Passenger,1st Class,,11751,D35,Southampton,New York City
755,Beckwith Sarah Maybell,1865,1955,46,89,Female,Married,Passenger,1st Class,,11751,D35,Southampton,New York City
756,Bedford William Barnett,1880,1912,31,31,Male,Single,Crew,Victualling,,,,Southampton,
757,Beedem George Arthur,1877,1912,35,35,Male,Married,Crew,Victualling,,,,Southampton,
758,Beere William,1893,1912,19,19,Male,Single,Crew,Victualling,,,,Southampton,
759,Beesley Lawrence,1877,1967,34,89,Male,Widowed,Passenger,2nd Class,,248698,D56,Southampton,New York City
760,Behr Karl Howell,1885,1949,26,64,Male,Single,Passenger,1st Class,,111369,C148,Cherbourg,New York City
761,Bell Joseph,1861,1912,51,51,Male,Married,Crew,Engine,,,,Belfast,
762,Bendell Frank,1888,1912,23,23,Male,Single,Crew,Engine,,,,Southampton,
763,Bengtsson Jan Viktor,1885,1912,26,26,Male,Single,Passenger,3rd Class,,347068,,Southampton,
764,Benham Fred John,1882,1912,29,29,Male,Single,Crew,Victualling,,,,Southampton,
765,Bennett George Alfred,1881,1912,30,30,Male,Single,Crew,Engine,,,,Southampton,
766,Bennett Mabel Kate,1878,1974,33,96,Female,Married,Crew,Victualling,,,,Southampton,New York City
767,Benson James,1862,,50,,Male,,Crew,Deck,,,,Belfast,Southampton
768,Benson John,1886,,26,,Male,,Crew,Deck,,,,Belfast,Southampton
769,Benson William,1887,1967,25,79,Male,Single,Crew,Engine,,,,Belfast,Southampton
770,Bentham Lillian Winifred,1892,1977,19,85,Female,Single,Passenger,2nd Class,,28404,,Southampton,New York City
771,Benville Edward,1864,1912,47,47,Male,Single,Crew,Engine,,,,Southampton,
772,Berglund Karl Ivar Sven,1890,1912,22,22,Male,Single,Passenger,3rd Class,,4348,,Southampton,
773,Bernardi Battista,1890,1912,22,22,Male,,Crew,A la Carte,,,,Southampton,
774,Berriman William John,1889,1912,23,23,Male,Single,Passenger,2nd Class,,28425,,Southampton,
775,Bessant Edward,1880,1912,31,31,Male,Married,Crew,Victualling,,,,Southampton,
776,Bessant William Edward Lowe,1871,1912,40,40,Male,Married,Crew,Engine,,,,Southampton,
777,Best Edwin Alfred,1872,1912,40,40,Male,Married,Crew,Victualling,,,,Belfast,
778,Beux David,1886,1912,25,25,Male,,Crew,A la Carte,,,,Southampton,
779,Bevis Joseph Henry,1890,1912,22,22,Male,Single,Crew,Engine,,,,Southampton,
780,Biddlecombe Reginald Charles,1880,1912,31,31,Male,Married,Crew,Engine,,,,Southampton,
781,Biggs Edward Charles,1891,1912,20,20,Male,Single,Crew,Engine,,,,Southampton,
782,Billows James,1892,1912,20,20,Male,Single,Crew,Engine,,,,Southampton,
783,Bing Lee,1880,,32,,Male,Married,Passenger,3rd Class,,1601,,Southampton,New York City
784,Binstead Walter William,1891,1959,20,67,Male,Single,Crew,Engine,,,,Southampton,New York City
785,Birkeland Hans Martin Monsen,1890,1912,21,21,Male,,Passenger,3rd Class,,312992,,Southampton,
786,Birnbaum Jakob,1887,1912,24,24,Male,Single,Passenger,1st Class,,13905,,Cherbourg,
787,Bishop Dickinson H.,1887,1961,25,73,Male,Married,Passenger,1st Class,,11967,B49,Cherbourg,New York City
788,Bishop Helen Margaret,1892,1916,19,23,Female,Married,Passenger,1st Class,,11967,B49,Cherbourg,New York City
789,Bishop Walter Alexander,1878,1912,34,34,Male,Married,Crew,Victualling,,,,Belfast,
790,Bittle Robert,1866,1922,46,56,Male,Married,Crew,Engine,,,,Belfast,Southampton
791,BiÈtrix George Baptiste,1883,1912,28,28,Male,Single,Crew,A la Carte,,,,Southampton,
792,Bjˆrklund Ernst Heribert,1894,1912,18,18,Male,Single,Passenger,3rd Class,,347090,,Southampton,
793,Bjˆrnstrˆm-Steffansson Mauritz HÂkan,1883,1962,28,78,Male,Single,Passenger,1st Class,,110564,C52 ?,Southampton,New York City
794,Black Alexander,1884,1912,28,28,Male,,Crew,Engine,,,,Southampton,
795,Black James,1874,,38,,Male,,Crew,Engine,,,,Belfast,Southampton
796,Blackman Albert Edward,1889,1912,23,23,Male,Single,Crew,Engine,,,,Southampton,
797,Blackwell Stephen Weart,1866,1912,45,45,Male,Widowed,Passenger,1st Class,,113784,T,Southampton,
798,Blades Frederick Charles,1895,1912,17,17,Male,Single,Crew,Victualling,,,,Southampton,
799,Blake John Douglas Stanley George,1886,1912,26,26,Male,Single,Crew,Engine,,,,Belfast,
800,Blake Percival Albert,1889,1968,22,78,Male,Single,Crew,Engine,,,,Southampton,New York City
801,Blake Thomas Henry,1875,1912,36,36,Male,Married,Crew,Engine,,,,Southampton,
802,Blaney James,1880,1912,32,32,Male,Single,Crew,Engine,,,,Southampton,
803,Blank Henry,1872,1949,39,76,Male,Married,Passenger,1st Class,,112277,A31,Cherbourg,New York City
804,Blann Eustace Horatius,1890,1912,21,21,Male,Single,Crew,Engine,,,,Southampton,
805,Bliss Emma,1866,1959,45,93,Female,Married,Crew,Victualling,,,,Southampton,New York City
806,Bloomer James,1860,1927,51,66,Male,Married,Crew,Deck,,,,Belfast,Southampton
807,Blumet Jean Baptiste,1886,1912,26,26,Male,,Crew,A la Carte,,,,Southampton,
808,Boal John,1872,,40,,Male,,Crew,Engine,,,,Belfast,Southampton
809,Bochatay Alexis Joseph,1881,1912,30,30,Male,Single,Crew,Victualling,,,,Southampton,
810,Bochet Pietro Giuseppe,1868,1912,43,43,Male,Married,Crew,A la Carte,,,,Southampton,
811,Bogie Norman Leslie,1853,1912,59,59,Male,Married,Crew,Victualling,,,,Southampton,
812,Bolhuis Hendrik,1884,1912,27,27,Male,Single,Crew,A la Carte,,,,Southampton,
813,Bond William John,1867,1912,45,45,Male,Married,Crew,Victualling,,,,Belfast,
814,Bonnell Caroline,1882,1950,30,67,Female,Single,Passenger,1st Class,,36928,C7,Southampton,New York City
815,Bonnell Elizabeth,1850,1936,61,85,Female,Single,Passenger,1st Class,,113783,C103,Southampton,New York City
816,Boothby Walter Thomas,1874,1912,37,37,Male,Married,Crew,Victualling,,,,Southampton,
817,Borebank John James,1870,1912,41,41,Male,Married,Passenger,1st Class,,110489,D22,Southampton,
818,Bostandjiev Gencho,1886,1912,26,26,Male,,Passenger,3rd Class,,349224,,Southampton,
819,Boston William John,1879,1912,32,32,Male,Married,Crew,Victualling,,,,Belfast,
820,Botsford William Hull,1886,1912,25,25,Male,,Passenger,2nd Class,,237670,,Southampton,
821,Bott William Thomas,1866,1912,46,46,Male,,Crew,Engine,,,,Southampton,
822,Boughton Bernard John,1887,1912,24,24,Male,Single,Crew,Victualling,,,,Southampton,
823,Boulos Hanna,1894,1912,18,18,Male,,Passenger,3rd Class,,2664,,Cherbourg,
824,Bourke Catherine,1879,1912,32,32,Female,Married,Passenger,3rd Class,,364849,,Queenstown,
825,Bourke John,1869,1912,42,42,Male,Married,Passenger,3rd Class,,364849,,Queenstown,
826,Bourke Mary,1871,1912,40,40,Female,,Passenger,3rd Class,,364848,,Queenstown,
827,Bowen David John 'Dai',1891,1912,20,20,Male,Single,Passenger,3rd Class,,54636,,Southampton,
828,Bowerman Elsie Edith,1889,1973,22,83,Female,Single,Passenger,1st Class,,113505,E33,Southampton,New York City
829,Bowker Ruth Harwood,1880,1956,31,75,Female,Single,Crew,A la Carte,,,,Southampton,New York City
830,Boyd Adam,1874,,38,,Male,,Crew,Engine,,,,Belfast,Southampton
831,Boyd John,1875,1912,37,37,Male,Married,Crew,Victualling,,,,Southampton,
832,Boyes John Henry,1875,1912,36,36,Male,Married,Crew,Victualling,,,,Belfast,
833,Bracken James Hollen,1881,1912,30,30,Male,Married,Passenger,2nd Class,,220367,,Southampton,
834,Bradley Bridget,1890,1956,22,66,Female,Single,Passenger,3rd Class,,334914,,Queenstown,New York City
835,Bradley Patrick Joseph,1873,1912,38,38,Male,Married,Crew,Engine,,,,Southampton,
836,Bradley Thomas Henry,1883,1912,28,28,Male,Single,Crew,Deck,,,,Southampton,
837,Bradshaw John Albert Perkin,1869,1912,42,42,Male,Married,Crew,Victualling,,,,Southampton,
838,Brady John Bertram,1870,1912,41,41,Male,Single,Passenger,1st Class,,113054,A21,Southampton,
839,Braf Elin Ester Maria,1891,1912,20,20,Female,,Passenger,3rd Class,,347471,,Southampton,
840,Braiden William John,1875,1946,37,71,Male,Married,Crew,Engine,,,,Belfast,Southampton
841,Brandeis Emil Franklin,1864,1912,48,48,Male,,Passenger,1st Class,,17591,B10,Cherbourg,
842,Braund Lewis Richard,1883,1912,29,29,Male,,Passenger,3rd Class,,3460,,Southampton,
843,Braund Owen Harris,1889,1912,22,22,Male,Single,Passenger,3rd Class,,21171,,Southampton,
844,Brennan Thomas,1873,,39,,Male,,Crew,Engine,,,,Belfast,Southampton
845,Brereton George Andrew,1874,1942,37,67,Male,Single,Passenger,1st Class,,111427,,Southampton,New York City
846,Brewe Arthur Jackson,1866,1912,45,45,Male,Married,Passenger,1st Class,,112379,,Cherbourg,
847,Brewer Harry,1882,1912,30,30,Male,Married,Crew,Engine,,,,Southampton,
848,Brewster George Henry,1859,1912,52,52,Male,Married,Crew,Victualling,,,,Belfast,
849,Briant Albert,1877,1912,34,34,Male,Married,Crew,Engine,,,,Southampton,
850,Briant Arthur,1882,1912,30,30,Male,Married,Crew,Engine,,,,Southampton,
851,Brice Walter Thomas,1869,1928,42,58,Male,Married,Crew,Deck,,,,Southampton,New York City
852,Bride Harold Sydney,1890,1956,22,66,Male,Single,Crew,Victualling,,,,Belfast,New York City
853,Bright Arthur John,1869,1955,42,86,Male,Married,Crew,Deck,,,,Belfast,New York City
854,Bristow Harry,1873,1912,38,38,Male,Married,Crew,Victualling,,,,Southampton,
855,Bristow Robert Charles,1873,1912,38,38,Male,Married,Crew,Victualling,,,,Southampton,
856,Brito JosÈ Joaquim de,1871,1912,40,40,Male,,Passenger,2nd Class,,244360,,Southampton,
857,Brob‰ck Karl Rudolf,1890,1912,22,22,Male,Single,Passenger,3rd Class,,350045,,Southampton,
858,Brocklebank William Alfred,1872,1912,40,40,Male,Married,Passenger,3rd Class,,364512,,Southampton,
859,Brookman John Cress,1884,1912,28,28,Male,Married,Crew,Victualling,,,,Southampton,
860,Brooks J.,1887,1912,25,25,Male,Single,Crew,Engine,,,,Southampton,
861,Broom Herbert George,1879,1912,33,33,Male,Married,Crew,Victualling,,,,Belfast,
862,Broome Athol Frederick,1881,1912,31,31,Male,Married,Crew,Victualling,,,,Southampton,
863,Brown Caroline Lane,1852,1928,59,75,Female,Widowed,Passenger,1st Class,,11769,C101,Southampton,New York City
864,Brown Edith Eileen,1896,1997,15,100,Female,Single,Passenger,2nd Class,,29750,,Southampton,New York City
865,Brown Edward,1878,1926,34,48,Male,Single,Crew,Victualling,,,,Belfast,New York City
866,Brown Elizabeth Catherine,1868,1925,44,57,Female,Married,Passenger,2nd Class,,29750,,Southampton,New York City
867,Brown John,1884,1912,28,28,Male,Single,Crew,Engine,,,,Southampton,
868,Brown Margaret,1867,1932,44,65,Female,Married,Passenger,1st Class,,17610,,Cherbourg,New York City
869,Brown Thomas William Solomon,1851,1912,60,60,Male,Married,Passenger,2nd Class,,29750,,Southampton,
870,Brown Walter James,1871,1912,41,41,Male,Single,Crew,Victualling,,,,Belfast,
871,Bryan John,1890,,22,,Male,,Crew,Engine,,,,Belfast,Southampton
872,Bryhl Dagmar Jenny Ingeborg,1891,1969,20,77,Female,Single,Passenger,2nd Class,,236853,,Southampton,New York City
873,Bryhl Kurt Arnold Gottfrid,1887,1912,25,25,Male,Single,Passenger,2nd Class,,236853,,Southampton,
874,Buckley Catherine,1889,1912,23,23,Female,,Passenger,3rd Class,,329944,,Queenstown,
875,Buckley Daniel,1890,1918,21,28,Male,Single,Passenger,3rd Class,,330920,,Queenstown,New York City
876,Buckley H. E.,1878,1912,34,34,Male,,Crew,Victualling,,,,Southampton,
877,Bucknell Emma Eliza,1853,1927,58,73,Female,Widowed,Passenger,1st Class,,11813,D15,Cherbourg,New York City
878,Buley Edward John,1885,1917,26,32,Male,Single,Crew,Deck,,,,Southampton,New York City
879,Bull Walter Edward,1875,1912,36,36,Male,Married,Crew,Victualling,,,,Southampton,
880,Bulley Henry Ashburnham,1890,1912,21,21,Male,Single,Crew,Victualling,,,,Southampton,
881,Bunnell Wilfred James,1891,1912,20,20,Male,Single,Crew,Victualling,,,,Belfast,
882,Burgess Charles,1893,1960,18,67,Male,Single,Crew,Victualling,,,,Southampton,New York City
883,Burke Jeremiah,1893,1912,19,19,Male,,Passenger,3rd Class,,365222,,Queenstown,
884,Burke Richard Edward,1882,1912,29,29,Male,Married,Crew,Victualling,,,,Belfast,
885,Burke William,1872,1961,39,88,Male,Single,Crew,Victualling,,,,Belfast,New York City
886,Burness Frank,1869,,43,,Male,,Crew,Engine,,,,Belfast,Southampton
887,Burns John,1880,,31,,Male,Married,Crew,Deck,,,,Belfast,Southampton
888,Burns Mary Delia,1896,1912,15,15,Female,Single,Passenger,3rd Class,,330963,,Queenstown,
889,Burns William Simpson,1874,1953,37,79,Male,,Crew,Engine,,,,Belfast,Southampton
890,Burr Ewart Sydenham,1883,1912,28,28,Male,Married,Crew,Victualling,,,,Southampton,
891,Burrage Arthur Victor Edwards,1891,1951,20,60,Male,Single,Crew,Victualling,,,,Southampton,New York City
892,Burroughs Arthur Peckham,1877,1912,34,34,Male,Married,Crew,Engine,,,,Southampton,
893,Burton Edward John,1877,1912,35,35,Male,Single,Crew,Engine,,,,Southampton,
894,Buss Kate,1875,1972,36,96,Female,Single,Passenger,2nd Class,,27849,,Southampton,New York City
895,Butler Reginald Fenton,1886,1912,25,25,Male,Single,Passenger,2nd Class,,234686,,Southampton,
896,Butrus-Ka'w? Tann?s,1891,1912,21,21,Male,Married,Passenger,3rd Class,,2648,,Cherbourg,
897,Butt Archibald Willingham,1865,1912,46,46,Male,Engaged,Passenger,1st Class,,113050,B38,Southampton,
898,Butt Robert Henry,1890,1912,21,21,Male,Single,Crew,Victualling,,,,Southampton,
899,Butt William John,1881,1912,30,30,Male,Single,Crew,Engine,,,,Southampton,
900,Butterworth John,1889,1912,23,23,Male,Single,Crew,Victualling,,,,Southampton,
901,Byles Thomas Roussel Davids,1870,1912,42,42,Male,Single,Passenger,2nd Class,,244310,,Southampton,
902,Byrne James Edward,1867,1912,44,44,Male,Single,Crew,Victualling,,,,Southampton,
903,Bystrˆm Karolina,1872,1964,39,91,Female,Married,Passenger,2nd Class,,236852,,Southampton,New York City
904,B?lus Akar,1905,1912,7,7,Male,,Passenger,3rd Class,,2678,,Cherbourg,
905,B?lus N?r al-'ayn,1902,1912,10,10,Female,,Passenger,3rd Class,,2678,,Cherbourg,
906,B?lus Sult?nah,1872,1912,40,40,Female,Married,Passenger,3rd Class,,2678,,Cherbourg,
907,Cairnes Robert,1862,,50,,Male,,Crew,Engine,,,,Belfast,Southampton
908,Calderhead Edward Pennington,1869,1961,42,91,Male,Married,Passenger,1st Class,,17476,E24,Southampton,New York City
909,Calderwood Hugh,1879,1912,33,33,Male,Single,Crew,Engine,,,,Belfast,
910,Caldwell Albert Francis,1885,1977,26,91,Male,Married,Passenger,2nd Class,,248738,,Southampton,New York City
911,Caldwell Alden Gates,1911,1992,0,81,Male,,Passenger,2nd Class,,248738,,Southampton,New York City
912,Caldwell Sylvia Mae,1883,1965,28,81,Female,Married,Passenger,2nd Class,,248738,,Southampton,New York City
913,Cameron Clear Annie,1877,1962,35,84,Female,Single,Passenger,2nd Class,,13528,,Southampton,New York City
914,Campbell Donald Samuel,1884,1912,28,28,Male,Single,Crew,Victualling,,,,Southampton,
915,Canavan Mary,1889,1912,22,22,Female,Single,Passenger,3rd Class,,364846,,Queenstown,
916,Canavan Patrick,1890,1912,21,21,Male,Single,Passenger,3rd Class,,364858,,Queenstown,
917,Candee Helen Churchill,1859,1949,52,89,Female,Married,Passenger,1st Class,,17606,,Cherbourg,New York City
918,Cann Ernest,1883,1912,29,29,Male,Married,Passenger,3rd Class,,2152,,Southampton,
919,Canner John,1872,1912,40,40,Male,Single,Crew,Engine,,,,Southampton,
920,Caram Joseph,1884,1912,28,28,Male,,Passenger,3rd Class,,2689,,Cherbourg,
921,Caram Maria Elias,1894,1912,18,18,Female,,Passenger,3rd Class,,2689,,Cherbourg,
922,Carbines William,1893,1912,19,19,Male,Single,Passenger,2nd Class,,28424,,Southampton,
923,Cardeza Charlotte Wardle,1854,1939,58,85,Female,Married,Passenger,1st Class,,17755,B51/53/55,Cherbourg,New York City
924,Cardeza Thomas Drake Martinez,1875,1952,36,77,Male,Married,Passenger,1st Class,,17755,B51/53/55,Cherbourg,New York City
925,Cardwell John,1879,1963,32,84,Male,Married,Crew,Engine,,,,Belfast,Southampton
926,Carlsson August Sigfrid,1884,1912,28,28,Male,Married,Passenger,3rd Class,,350042,,Southampton,
927,Carlsson Carl Robert,1888,1912,24,24,Male,,Passenger,3rd Class,,350409,,Southampton,
928,Carlsson Frans Olof,1878,1912,33,33,Male,Single,Passenger,1st Class,,695,,Southampton,
929,Carney William John,1881,1912,31,31,Male,Single,Crew,Victualling,,,,Southampton,
930,Carr Jane,1867,1912,45,45,Female,Single,Passenger,3rd Class,,368364,,Queenstown,
931,Carr Richard Stephen,1884,1912,27,27,Male,Engaged,Crew,Engine,,,,Southampton,
932,Carrau Francisco Mauro Severiano,1884,1912,27,27,Male,,Passenger,1st Class,,113059,,Southampton,
933,Carra˙-Esteves JosÈ Pedro,1894,1912,17,17,Male,,Passenger,1st Class,,113059,,Southampton,
934,Carruthers Francis,,,,,Male,,Passenger,1st Class,,,,Belfast,Southampton
935,Carson James,1875,1950,36,74,Male,Married,Crew,Engine,,,,Belfast,Southampton
936,Carter Ernest Courtenay,1858,1912,54,54,Male,Married,Passenger,2nd Class,,244252,,Southampton,
937,Carter James,1866,1912,46,46,Male,Married,Crew,Engine,,,,Southampton,
938,Carter Lilian,1867,1912,45,45,Female,Married,Passenger,2nd Class,,244252,,Southampton,
939,Carter Lucile,1875,1934,36,59,Female,Married,Passenger,1st Class,,113760,B96/98,Southampton,New York City
940,Carter Lucile Polk,1897,1962,14,64,Female,,Passenger,1st Class,,113760,B96/98,Southampton,New York City
941,Carter William Ernest,1875,1940,36,64,Male,Married,Passenger,1st Class,,113760,B96/98,Southampton,New York City
942,Carter William Thornton II,1900,1985,11,84,Male,,Passenger,1st Class,,113760,B96/98,Southampton,New York City
943,Cartwright James Edward,1879,1912,33,33,Male,Single,Crew,Victualling,,,,Belfast,
944,Carver Alfred John,1884,1912,27,27,Male,,Passenger,3rd Class,,370160,,Southampton,
945,Casali Giulio,1880,1912,32,32,Male,Single,Crew,A la Carte,,,,Southampton,
946,Case Howard Brown,1863,1912,49,49,Male,Married,Passenger,1st Class,,19924,,Southampton,
947,Casey Thomas,1867,1912,44,44,Male,Single,Crew,Engine,,,,Southampton,
948,Cassebeer Eleanor Genevieve,1875,,36,,Female,Married,Passenger,1st Class,,17770,,Cherbourg,New York City
949,Cassidy William John,1881,1953,30,72,Male,Married,Crew,Engine,,,,Belfast,Southampton
950,Casswill Charles,1877,1912,34,34,Male,Married,Crew,Victualling,,,,Southampton,
951,Castleman Edward,1874,1912,37,37,Male,Married,Crew,Engine,,,,Southampton,
952,Caton Annie,1879,1947,33,68,Female,Single,Crew,Victualling,,,,Southampton,New York City
953,Caunt William Ewart,1884,1912,28,28,Male,Married,Crew,Victualling,,,,Southampton,
954,Cave Herbert,1873,1912,39,39,Male,Married,Crew,Victualling,,,,Belfast,
955,Cavell George Henry,1889,1966,22,75,Male,Single,Crew,Engine,,,,Southampton,New York City
956,Cavendish Julia Florence,1886,1963,25,76,Female,Married,Passenger,1st Class,,19877,C46,Southampton,New York City
957,Cavendish Tyrell William,1875,1912,36,36,Male,Married,Passenger,1st Class,,19877,C46,Southampton,
958,Cecil Charles Thomas,1891,1912,21,21,Male,Single,Crew,Victualling,,,,Southampton,
959,Celotti Francesco,1888,1912,24,24,Male,,Passenger,3rd Class,,343275,,Southampton,
960,Chaboisson Adrien Firmin,1886,1912,25,25,Male,,Crew,A la Carte,,,,Southampton,
961,Chaffee Carrie Constance,1864,1931,47,66,Female,Married,Passenger,1st Class,,5734,E31,Southampton,New York City
962,Chaffee Herbert Fuller,1865,1912,46,46,Male,,Passenger,1st Class,,5734,E31,Southampton,
963,Chambers Bertha,1879,1959,32,80,Female,Married,Passenger,1st Class,,113806,E8,Southampton,New York City
964,Chambers Norman Campbell,1884,1966,27,81,Male,Married,Passenger,1st Class,,113806,E8,Southampton,New York City
965,Chapman Charles Henry,1860,1912,51,51,Male,Widowed,Passenger,2nd Class,,248731,,Southampton,
966,Chapman John Henry,1875,1912,37,37,Male,Married,Passenger,2nd Class,,29037,,Southampton,
967,Chapman Joseph Charles,1879,1939,32,59,Male,Married,Crew,Victualling,,,,Southampton,New York City
968,Chapman Sarah Elizabeth,1882,1912,30,30,Female,Married,Passenger,2nd Class,,29037,,Southampton,
969,Charman John James,1886,1912,25,25,Male,Single,Crew,Victualling,,,,Southampton,
970,Charters David,1891,1912,20,20,Male,Single,Passenger,3rd Class,,13032,,Queenstown,
971,Cheevers William,1880,1914,31,33,Male,Married,Crew,Engine,,,,Belfast,Southampton
972,Cherrett William Victor,1887,1912,24,24,Male,Single,Crew,Engine,,,,Southampton,
973,Cherry Gladys,1881,1965,30,83,Female,Single,Passenger,1st Class,,110152,B77,Southampton,New York City
974,Cheverton William Frederick,1884,1912,27,27,Male,Single,Crew,Victualling,,,,Belfast,
975,ChevrÈ Paul Romaine Marie LÈonce,1866,1914,45,47,Male,Single,Passenger,1st Class,,17594,A9,Cherbourg,New York City
976,Chibnall Edith Martha Bowerman,1864,1953,48,89,Female,Married,Passenger,1st Class,,113505,E33,Southampton,New York City
977,Chip Chang,1880,1914,32,34,Male,Single,Passenger,3rd Class,,1601,,Southampton,New York City
978,Chisnall George Alexander,1875,1912,36,36,Male,Married,Crew,Engine,,,,Belfast,
979,Chitty Archibald George,1883,1912,28,28,Male,,Crew,Victualling,,,,Southampton,
980,Chitty George Henry,1862,1912,50,50,Male,Widowed,Crew,Victualling,,,,Southampton,
981,Chorley John Henry,1887,1912,25,25,Male,Single,Crew,Engine,,,,Southampton,
982,Christmann Emil,1883,1912,29,29,Male,,Passenger,3rd Class,,343276,,Southampton,
983,Christmas Herbert Harry,1878,1912,34,34,Male,Married,Crew,Victualling,,,,Southampton,
984,Christy Alice Frances,1860,1939,52,79,Female,Married,Passenger,2nd Class,,237789,,Southampton,New York City
985,Christy Rachel Juli Cohen,1887,1931,25,44,Female,Single,Passenger,2nd Class,,237789,,Southampton,New York City
986,Chronopoulos Apostolos M.,1886,1912,26,26,Male,,Passenger,3rd Class,,2680,,Cherbourg,
987,Chronopoulos Dimitrios M.,1891,1912,21,21,Male,,Passenger,3rd Class,,2680,,Cherbourg,
988,Clark Virginia Estelle,1885,1958,26,73,Female,Married,Passenger,1st Class,,13508,C89,Cherbourg,New York City
989,Clark Walter Miller,1884,1912,27,27,Male,Married,Passenger,1st Class,,13508,C89,Cherbourg,
990,Clark William,1869,,42,,Male,Single,Crew,Engine,,,,Southampton,New York City
991,Clarke Ada Maria,1883,1953,28,69,Female,Married,Passenger,2nd Class,,2003,,Southampton,New York City
992,Clarke Charles Valentine,1883,1912,29,29,Male,Married,Passenger,2nd Class,,2003,,Southampton,
993,Cleland James,1881,1929,30,47,Male,Married,Crew,Engine,,,,Belfast,Southampton
994,Clench Frederick Charles,1878,1930,33,51,Male,Single,Crew,Deck,,,,Southampton,New York City
995,Clench George James,1881,1912,31,31,Male,Single,Crew,Deck,,,,Southampton,
996,Clifford George Quincy,1871,1912,40,40,Male,Married,Passenger,1st Class,,110465,A14,Southampton,
997,Cochrane Robert,1867,,44,,Male,Married,Crew,Engine,,,,Belfast,Southampton
998,Coe Harry,1890,1912,21,21,Male,Married,Crew,Engine,,,,Southampton,
999,Coelho Domingos Fernandeo,1891,1912,20,20,Male,Single,Passenger,3rd Class,,3101307,,Southampton,
1000,Cohen Gurshon,1892,1978,19,85,Male,Single,Passenger,3rd Class,,3540,,Southampton,New York City
1001,Colbert Patrick,1887,1912,24,24,Male,Single,Passenger,3rd Class,,371109,,Queenstown,
1002,Coleman Albert Edward,1883,1912,28,28,Male,Married,Crew,Victualling,,,,Southampton,
1003,Coleman John,1854,1912,57,57,Male,Married,Crew,Engine,,,,Belfast,
1004,Coleridge Reginald Charles,1883,1912,29,29,Male,Single,Passenger,2nd Class,,14263,,Southampton,
1005,Colgan Joseph,1879,,33,,Male,,Crew,Victualling,,,,Southampton,New York City
